machine,input_size,benchmark,rid,run_id,runtime(ns)
saphir,A,bt_A,453,0,12812352
saphir,A,bt_A,453,2,12768713
saphir,A,bt_A,453,1,12933753
saphir,A,bt_A,21,2,24981507
saphir,A,bt_A,21,1,24903026
saphir,A,bt_A,21,4,24583106
saphir,A,bt_A,21,3,24619866
saphir,A,bt_A,21,0,24302306
saphir,A,bt_A,500,1,22288548
saphir,A,bt_A,500,2,22749348
saphir,A,bt_A,500,0,22584428
saphir,A,bt_A,500,4,22262187
saphir,A,bt_A,500,3,22537827
saphir,A,bt_A,9,1,15917590
saphir,A,bt_A,9,2,15762511
saphir,A,bt_A,9,0,15770351
saphir,A,bt_A,9,3,15773471
saphir,A,bt_A,9,4,15719352
saphir,A,bt_A,1428,3,19204629
saphir,A,bt_A,1428,4,19344869
saphir,A,bt_A,1428,0,19153509
saphir,A,bt_A,1428,2,19299109
saphir,A,bt_A,1428,1,19226589
saphir,A,bt_A,1484,2,14666351
saphir,A,bt_A,1484,1,14569752
saphir,A,bt_A,1484,4,14687792
saphir,A,bt_A,1484,3,14634272
saphir,A,bt_A,1484,0,14726191
saphir,A,bt_A,569,1,19271949
saphir,A,bt_A,569,2,19321029
saphir,A,bt_A,569,0,19304429
saphir,A,bt_A,569,4,19342590
saphir,A,bt_A,569,3,19227989
saphir,A,bt_A,320,0,19062149
saphir,A,bt_A,320,4,19027389
saphir,A,bt_A,320,3,19011909
saphir,A,bt_A,320,1,18959669
saphir,A,bt_A,320,2,18986829
saphir,A,bt_A,339,2,18815909
saphir,A,bt_A,339,1,22521308
saphir,A,bt_A,339,3,19965429
saphir,A,bt_A,339,4,18716390
saphir,A,bt_A,339,0,22645227
saphir,A,bt_A,1249,4,23511107
saphir,A,bt_A,1249,3,23853027
saphir,A,bt_A,1249,0,24052707
saphir,A,bt_A,1249,2,24253867
saphir,A,bt_A,1249,1,23660147
saphir,A,bt_A,748,3,16791630
saphir,A,bt_A,748,4,16893110
saphir,A,bt_A,748,0,16872511
saphir,A,bt_A,748,2,16854391
saphir,A,bt_A,748,1,16783030
saphir,A,bt_A,656,0,14647112
saphir,A,bt_A,656,3,14463591
saphir,A,bt_A,656,4,14655232
saphir,A,bt_A,656,1,14528792
saphir,A,bt_A,656,2,14505312
saphir,A,bt_A,669,1,18773550
saphir,A,bt_A,669,2,18801669
saphir,A,bt_A,669,0,18792069
saphir,A,bt_A,669,4,18762309
saphir,A,bt_A,669,3,18800389
saphir,A,bt_A,1108,1,19414869
saphir,A,bt_A,1108,2,19576670
saphir,A,bt_A,1108,0,19366309
saphir,A,bt_A,1108,3,19460829
saphir,A,bt_A,1108,4,19274389
saphir,A,bt_A,793,4,13840912
saphir,A,bt_A,793,3,13840393
saphir,A,bt_A,793,0,13985552
saphir,A,bt_A,793,2,14034273
saphir,A,bt_A,793,1,13804472
saphir,A,bt_A,859,4,18558110
saphir,A,bt_A,859,3,18645830
saphir,A,bt_A,859,0,18603629
saphir,A,bt_A,859,2,18682549
saphir,A,bt_A,859,1,18449190
saphir,A,sp_A,1604,4,17142431
saphir,A,sp_A,1604,3,16962271
saphir,A,sp_A,1604,0,17331111
saphir,A,sp_A,1604,2,17293871
